date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:28	136123/136123	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2015:22:52%20GMT	https://theprojectpages.files.wordpress.com/2020/05/0787c-1iysweivgedvbbdv7t541hq.png?w=960	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/05/0787c-1iysweivgedvbbdv7t541hq2289.png	(from https://vedantdave117.com/portfolio-117/)
11:29:28	37834/37834	---M--	200	added ('OK')	image/png	date:Mon,%2011%20May%202020%2010:13:41%20GMT	https://theprojectpages.files.wordpress.com/2020/05/c.png?w=720	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/05/c74bc.png	(from https://vedantdave117.com/portfolio-117/)
11:29:29	134245/134245	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20May%202020%2010:13:40%20GMT	https://theprojectpages.files.wordpress.com/2020/05/d.jpeg?w=768	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/05/d6410.jpg	(from https://vedantdave117.com/portfolio-117/)
11:29:29	54981/54981	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2001:46:14%20GMT	https://theprojectpages.files.wordpress.com/2020/07/bike_sharing.jpg	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/07/bike_sharing.jpg	(from https://vedantdave117.com/portfolio-117/)
11:29:29	4016538/4016538	---M--	200	added ('OK')	image/gif	date:Thu,%2002%20Jul%202020%2002:30:19%20GMT	https://theprojectpages.files.wordpress.com/2020/07/sentiment-analysis-deployment.gif?w=640	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/07/sentiment-analysis-deployment73d9.gif	(from https://vedantdave117.com/portfolio-117/)
11:29:32	349822/349822	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jul%202020%2001:41:20%20GMT	https://theprojectpages.files.wordpress.com/2020/07/bike-sharing-result.png	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/07/bike-sharing-result.png	(from https://vedantdave117.com/portfolio-117/)
11:29:36	607042/607042	---M--	200	added ('OK')	image/png	date:Fri,%2008%20May%202020%2014:55:40%20GMT	https://theprojectpages.files.wordpress.com/2020/05/4-1.png	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/05/4-1.png	(from https://vedantdave117.com/portfolio-117/)
11:29:37	69807/69807	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2015:29:39%20GMT	https://vedantdave117.com/5-financial-fraud-advanced-analysis/	C:/Users/HP/Desktop/own%20website/vedantdave117.com/5-financial-fraud-advanced-analysis/index.html	(from https://vedantdave117.com/portfolio-117/)
11:29:39	218166/218166	---M--	200	added ('OK')	image/png	date:Fri,%2008%20May%202020%2014:55:53%20GMT	https://theprojectpages.files.wordpress.com/2020/05/5.png	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/05/5.png	(from https://vedantdave117.com/portfolio-117/)
11:29:40	78094/78094	---M--	200	added ('OK')	image/png	date:Fri,%2008%20May%202020%2014:56:18%20GMT	https://theprojectpages.files.wordpress.com/2020/05/3.png	C:/Users/HP/Desktop/own%20website/theprojectpages.files.wordpress.com/2020/05/3.png	(from https://vedantdave117.com/portfolio-117/)
